Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
H02,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H03,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H04,FAM,HSP90AA1,Unkn-08,Cool,,28.84684113,29.50945294,0.725268846,982.5885105,2.992371682,670.7202352,311.1210027,64,
H05,FAM,HSP90AA1,Unkn-08,Cool,,29.39722295,29.50945294,0.725268846,669.2202663,2.825569084,670.7202352,311.1210027,64,
H06,FAM,HSP90AA1,Unkn-08,Cool,,30.28429474,29.50945294,0.725268846,360.3519289,2.556726851,670.7202352,311.1210027,64,
H07,FAM,HSP90AA1,Unkn-16,Hot,,34.05058526,34.45627937,0.359182759,26.01886105,1.415288282,20.03239936,5.259714513,64,
H08,FAM,HSP90AA1,Unkn-16,Hot,,34.73376872,34.45627937,0.359182759,16.15243063,1.208237884,20.03239936,5.259714513,64,
H09,FAM,HSP90AA1,Unkn-16,Hot,,34.58448413,34.45627937,0.359182759,17.92590641,1.253481125,20.03239936,5.259714513,64,
H10,FAM,HSP90AA1,Unkn-24,Hot,,31.05570384,31.28318545,0.36916564,210.3478936,2.322938167,183.2674885,43.30439191,64,
H11,FAM,HSP90AA1,Unkn-24,Hot,,31.08472061,31.28318545,0.36916564,206.1313943,2.314144141,183.2674885,43.30439191,64,
H12,FAM,HSP90AA1,Unkn-24,Hot,,31.70913188,31.28318545,0.36916564,133.3231776,2.124905656,183.2674885,43.30439191,64,
A01,HEX,EEF2,Std-01,,,16.50525182,16.49758398,0.098438353,10000000,7,10000000,0,64,
A02,HEX,EEF2,Std-01,,,16.39553594,16.49758398,0.098438353,10000000,7,10000000,0,64,
A03,HEX,EEF2,Std-01,,,16.59196417,16.49758398,0.098438353,10000000,7,10000000,0,64,
A04,HEX,EEF2,Unkn-01,Cool,,34.45247754,34.41799707,0.129816194,27.45596895,1.438636775,28.19827352,2.580991289,64,
A05,HEX,EEF2,Unkn-01,Cool,,34.27442169,34.41799707,0.129816194,31.06907658,1.492328346,28.19827352,2.580991289,64,
A06,HEX,EEF2,Unkn-01,Cool,,34.52709197,34.41799707,0.129816194,26.06977504,1.416137284,28.19827352,2.580991289,64,
A07,HEX,EEF2,Unkn-09,Hot,,29.25082548,29.29744607,0.066699253,1016.625004,3.007160787,984.9416725,45.03228503,64,
A08,HEX,EEF2,Unkn-09,Hot,,29.37384761,29.29744607,0.066699253,933.3924224,2.970064271,984.9416725,45.03228503,64,
A09,HEX,EEF2,Unkn-09,Hot,,29.26766511,29.29744607,0.066699253,1004.807591,3.002082908,984.9416725,45.03228503,64,
A10,HEX,EEF2,Unkn-17,Cool,,32.08929033,32.21445831,0.115744142,141.6577549,2.151240355,130.1481808,10.56542913,64,
A11,HEX,EEF2,Unkn-17,Cool,,32.31761864,32.21445831,0.115744142,120.8897428,2.082389454,130.1481808,10.56542913,64,
A12,HEX,EEF2,Unkn-17,Cool,,32.23646597,32.21445831,0.115744142,127.8970446,2.106860509,130.1481808,10.56542913,64,
B01,HEX,EEF2,Std-02,,,19.25999389,19.13814394,0.105585719,1000000,6,1000000,0,64,
B02,HEX,EEF2,Std-02,,,19.08079481,19.13814394,0.105585719,1000000,6,1000000,0,64,
B03,HEX,EEF2,Std-02,,,19.07364312,19.13814394,0.105585719,1000000,6,1000000,0,64,
B04,HEX,EEF2,Unkn-02,Hot,,32.6993488,32.85354018,0.462291824,92.74301963,1.967281232,86.07609015,25.32260315,64,
B05,HEX,EEF2,Unkn-02,Hot,,32.48804973,32.85354018,0.462291824,107.3982185,2.030997077,86.07609015,25.32260315,64,
B06,HEX,EEF2,Unkn-02,Hot,,33.37322202,32.85354018,0.462291824,58.08703235,1.764079189,86.07609015,25.32260315,64,
B07,HEX,EEF2,Unkn-10,Cool,,36.93589352,35.73151041,1.081097951,4.895296453,0.689778997,13.29609516,8.035008134,64,
B08,HEX,EEF2,Unkn-10,Cool,,34.8449445,35.73151041,1.081097951,20.90696245,1.320290939,13.29609516,8.035008134,64,
B09,HEX,EEF2,Unkn-10,Cool,,35.41369321,35.73151041,1.081097951,14.0860266,1.148788504,13.29609516,8.035008134,64,
B10,HEX,EEF2,Unkn-18,Hot,,40.04536292,39.50893212,0.469864473,0.565117718,-0.247861076,0.847852918,0.249575272,64,
B11,HEX,EEF2,Unkn-18,Hot,,39.17033119,39.50893212,0.469864473,1.037526016,0.015998996,0.847852918,0.249575272,64,
B12,HEX,EEF2,Unkn-18,Hot,,39.31110227,39.50893212,0.469864473,0.94091502,-0.026449599,0.847852918,0.249575272,64,
C01,HEX,EEF2,Std-03,,,22.2527782,22.17076549,0.095587171,100000,5,100000,0,64,
C02,HEX,EEF2,Std-03,,,22.19373058,22.17076549,0.095587171,100000,5,100000,0,64,
C03,HEX,EEF2,Std-03,,,22.06578771,22.17076549,0.095587171,100000,5,100000,0,64,
C04,HEX,EEF2,Unkn-03,Cool,,31.14733759,30.42775006,0.641438142,272.4457369,2.435280017,477.2548455,187.5432347,64,
C05,HEX,EEF2,Unkn-03,Cool,,30.21990441,30.42775006,0.641438142,518.7300418,2.714941401,477.2548455,187.5432347,64,
C06,HEX,EEF2,Unkn-03,Cool,,29.91600818,30.42775006,0.641438142,640.5887578,2.806579313,477.2548455,187.5432347,64,
C07,HEX,EEF2,Unkn-11,Cool,,35.41848536,36.26486193,0.860237753,14.03923553,1.14734346,8.74708605,4.941531065,64,
C08,HEX,EEF2,Unkn-11,Cool,,36.23777915,36.26486193,0.860237753,7.948602911,0.900290801,8.74708605,4.941531065,64,
C09,HEX,EEF2,Unkn-11,Cool,,37.13832127,36.26486193,0.860237753,4.253419714,0.62873824,8.74708605,4.941531065,64,
C10,HEX,EEF2,Unkn-19,Cool,,34.01700088,33.87378864,0.390275312,37.1494084,1.569951902,42.08731308,11.99097848,64,
C11,HEX,EEF2,Unkn-19,Cool,,33.43213859,33.87378864,0.390275312,55.75878245,1.746313282,42.08731308,11.99097848,64,
C12,HEX,EEF2,Unkn-19,Cool,,34.17222646,33.87378864,0.390275312,33.35374837,1.523144648,42.08731308,11.99097848,64,
D01,HEX,EEF2,Std-04,,,25.80259484,25.62061684,0.157654118,10000,4,10000,0,64,
D02,HEX,EEF2,Std-04,,,25.53385,25.62061684,0.157654118,10000,4,10000,0,64,
D03,HEX,EEF2,Std-04,,,25.52540568,25.62061684,0.157654118,10000,4,10000,0,64,
D04,HEX,EEF2,Unkn-04,Hot,,30.22906541,29.90382201,0.700288373,515.4410025,2.712178963,702.554316,370.072086,64,
D05,HEX,EEF2,Unkn-04,Hot,,30.38234488,29.90382201,0.700288373,463.4026849,2.665958546,702.554316,370.072086,64,
D06,HEX,EEF2,Unkn-04,Hot,,29.10005574,29.90382201,0.700288373,1128.81926,3.052624411,702.554316,370.072086,64,
D07,HEX,EEF2,Unkn-12,Hot,,28.33327173,28.42730339,0.239130604,1922.397064,3.283843095,1817.024499,288.0543221,64,
D08,HEX,EEF2,Unkn-12,Hot,,28.24948154,28.42730339,0.239130604,2037.555638,3.309109477,1817.024499,288.0543221,64,
D09,HEX,EEF2,Unkn-12,Hot,,28.69915689,28.42730339,0.239130604,1491.120795,3.173512827,1817.024499,288.0543221,64,
D10,HEX,EEF2,Unkn-20,Hot,,33.86237254,35.26309026,1.674147114,41.35986015,1.616579062,22.36721803,18.53981883,64,
D11,HEX,EEF2,Unkn-20,Hot,,34.80964629,35.26309026,1.674147114,21.42569338,1.330934885,22.36721803,18.53981883,64,
