Plate,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,E11,FAM,IL1B,Unkn-21,30C,,36.01497457,36.25036068,0.235386108,0.204928294,36.04543238,36.45528897,0.527850958,4.315501585,5,21.57750793
1,E12,FAM,IL1B,Unkn-21,30C,,36.34706228,36.25036068,0.096701605,0.204928294,36.04543238,36.45528897,0.527850958,3.453009603,5,17.26504802
1,F04,FAM,IL1B,Unkn-06,40C,,35.55626427,35.51056971,0.045694552,0.47860923,35.03196048,35.98917894,1.500238936,5.872008437,5,29.36004218
1,F05,FAM,IL1B,Unkn-06,40C,,35.46487516,35.51056971,0.045694552,0.47860923,35.03196048,35.98917894,1.500238936,6.243596521,5,31.21798261
1,F07,FAM,IL1B,Unkn-14,30C,,35.69885412,35.80438424,0.105530119,0.154683396,35.64970085,35.95906764,0.502527063,5.335914691,5,26.67957346
1,F08,FAM,IL1B,Unkn-14,30C,,35.98194713,35.80438424,0.177562891,0.154683396,35.64970085,35.95906764,0.502527063,4.412266689,5,22.06133344
1,F09,FAM,IL1B,Unkn-14,30C,,35.73235147,35.80438424,0.072032772,0.154683396,35.64970085,35.95906764,0.502527063,5.217246811,5,26.08623405
1,F10,FAM,IL1B,Unkn-22,40C,,36.28630901,36.29875787,0.012448852,1.049074534,35.24968333,37.3478324,1.451659713,3.596771418,5,17.98385709
1,F12,FAM,IL1B,Unkn-22,40C,,36.31120672,36.29875787,0.012448852,1.049074534,35.24968333,37.3478324,1.451659713,3.537145413,5,17.68572707
1,G04,FAM,IL1B,Unkn-07,30C,,35.42830285,35.17175186,0.256550988,0.239258228,34.93249363,35.41101009,1.203781694,6.398806172,5,31.99403086
1,G05,FAM,IL1B,Unkn-07,30C,,34.9547031,35.17175186,0.217048758,0.239258228,34.93249363,35.41101009,1.203781694,8.794192331,5,43.97096166
1,G06,FAM,IL1B,Unkn-07,30C,,35.13224963,35.17175186,0.03950223,0.239258228,34.93249363,35.41101009,1.203781694,7.80593889,5,39.02969445
1,G07,FAM,IL1B,Unkn-15,40C,,36.15410033,35.89930474,0.254795596,0.328172683,35.57113205,36.22747742,1.089433961,3.930642838,5,19.65321419
1,G08,FAM,IL1B,Unkn-15,40C,,36.01481991,35.89930474,0.115515175,0.328172683,35.57113205,36.22747742,1.089433961,4.315949725,5,21.57974862
1,G09,FAM,IL1B,Unkn-15,40C,,35.52899397,35.89930474,0.370310772,0.328172683,35.57113205,36.22747742,1.089433961,5.980512752,5,29.90256376
1,G10,FAM,IL1B,Unkn-23,30C,,35.17167319,35.3536514,0.181978216,0.260373801,35.0932776,35.61402521,1.126974964,7.60203084,5,38.0101542
1,G11,FAM,IL1B,Unkn-23,30C,,35.65190233,35.3536514,0.29825093,0.260373801,35.0932776,35.61402521,1.126974964,5.506803189,5,27.53401594
1,G12,FAM,IL1B,Unkn-23,30C,,35.23737869,35.3536514,0.116272714,0.260373801,35.0932776,35.61402521,1.126974964,7.273954034,5,36.36977017
1,H04,FAM,IL1B,Unkn-08,40C,,34.22343001,34.14504762,0.078382399,0.076694343,34.06835327,34.22174196,0.778952855,14.36904694,5,71.84523471
1,H05,FAM,IL1B,Unkn-08,40C,,34.07016087,34.14504762,0.074886743,0.076694343,34.06835327,34.22174196,0.778952855,15.92647742,5,79.63238711
1,H06,FAM,IL1B,Unkn-08,40C,,34.14155196,34.14504762,0.003495656,0.076694343,34.06835327,34.22174196,0.778952855,15.18108441,5,75.90542206
1,H07,FAM,IL1B,Unkn-16,30C,,38.49158226,38.51412288,0.022540624,0.593799953,37.92032293,39.10792283,0.232306116,0.818232942,5,4.09116471
1,H09,FAM,IL1B,Unkn-16,30C,,38.5366635,38.51412288,0.022540624,0.593799953,37.92032293,39.10792283,0.232306116,0.793837689,5,3.969188443
1,H11,FAM,IL1B,Unkn-24,40C,,38.42449305,38.77950748,0.355014434,1.046809049,37.73269843,39.82631653,0.32069045,0.855932488,5,4.279662441
1,H12,FAM,IL1B,Unkn-24,40C,,39.13452191,38.77950748,0.355014434,1.046809049,37.73269843,39.82631653,0.32069045,0.531376216,5,2.65688108
1,A04,HEX,EEF2,Unkn-01,30C,,28.62741327,28.80039482,0.172981546,0.193292153,28.60710266,28.99368697,182.3250533,1574.020408,5,7870.102039
1,A05,HEX,EEF2,Unkn-01,30C,,28.76473857,28.80039482,0.035656248,0.193292153,28.60710266,28.99368697,182.3250533,1432.843275,5,7164.216375
1,A06,HEX,EEF2,Unkn-01,30C,,29.00903261,28.80039482,0.208637794,0.193292153,28.60710266,28.99368697,182.3250533,1212.26344,5,6061.317199
1,A07,HEX,EEF2,Unkn-09,40C,,30.56193032,30.09552194,0.466408381,0.453327806,29.64219413,30.54884975,179.8494136,418.882046,5,2094.41023
1,A08,HEX,EEF2,Unkn-09,40C,,30.06811745,30.09552194,0.027404492,0.453327806,29.64219413,30.54884975,179.8494136,587.2835874,5,2936.417937
1,A09,HEX,EEF2,Unkn-09,40C,,29.65651805,30.09552194,0.439003889,0.453327806,29.64219413,30.54884975,179.8494136,778.3429217,5,3891.714608
1,A10,HEX,EEF2,Unkn-17,30C,,28.31515189,28.447524,0.132372113,0.189490248,28.25803375,28.63701425,223.4605416,1948.9973,5,9744.986499
1,A11,HEX,EEF2,Unkn-17,30C,,28.66459005,28.447524,0.217066048,0.189490248,28.25803375,28.63701425,223.4605416,1534.482015,5,7672.410075
1,A12,HEX,EEF2,Unkn-17,30C,,28.36283006,28.447524,0.084693935,0.189490248,28.25803375,28.63701425,223.4605416,1886.434681,5,9432.173407
1,B04,HEX,EEF2,Unkn-02,40C,,29.7617388,29.87803777,0.116298972,0.101456469,29.7765813,29.97949424,47.34663712,724.26993,5,3621.34965
1,B05,HEX,EEF2,Unkn-02,40C,,29.92396732,29.87803777,0.045929552,0.101456469,29.7765813,29.97949424,47.34663712,648.1683224,5,3240.841612
1,B06,HEX,EEF2,Unkn-02,40C,,29.94840719,29.87803777,0.07036942,0.101456469,29.7765813,29.97949424,47.34663712,637.4182949,5,3187.091475
1,B07,HEX,EEF2,Unkn-10,30C,,29.06592048,29.06916918,0.003248702,0.038334951,29.03083423,29.10750413,30.47275079,1165.978433,5,5829.892167
