Plate,Well,BirdID,Sex,PairID,Treatment,NormCopyNumber,Target
2,A05,B361,F,H2,40_deg,0.096133746,HSP90AA1
2,A06,B361,F,H2,40_deg,,HSP90AA1
2,B04,B175,M,L16,30_deg,0.067800353,HSP90AA1
2,B05,B175,M,L16,30_deg,0.071923608,HSP90AA1
2,B06,B175,M,L16,30_deg,0.069199444,HSP90AA1
2,C04,B363,M,H4,40_deg,0.344967285,HSP90AA1
2,C05,B363,M,H4,40_deg,,HSP90AA1
2,C06,B363,M,H4,40_deg,0.341453376,HSP90AA1
2,D04,B370,F,L8,30_deg,0.054590565,HSP90AA1
2,D05,B370,F,L8,30_deg,0.034064183,HSP90AA1
2,D06,B370,F,L8,30_deg,,HSP90AA1
2,E04,B402,M,H14,40_deg,0.087926439,HSP90AA1
2,E05,B402,M,H14,40_deg,,HSP90AA1
2,E06,B402,M,H14,40_deg,0.066520645,HSP90AA1
2,F04,B287,F,L10,30_deg,0.047584684,HSP90AA1
2,F05,B287,F,L10,30_deg,0.050996815,HSP90AA1
2,F06,B287,F,L10,30_deg,,HSP90AA1
2,G04,B169,M,H10,40_deg,0.218264003,HSP90AA1
2,G05,B169,M,H10,40_deg,0.209523646,HSP90AA1
2,G06,B169,M,H10,40_deg,,HSP90AA1
1,A04,B230,M,L12,30_deg,2.695292566,HSP60
1,A05,B230,M,L12,30_deg,2.817375353,HSP60
1,A06,B230,M,L12,30_deg,2.772166631,HSP60
1,A07,B364,F,H6,40_deg,0.977829607,HSP60
1,A08,B364,F,H6,40_deg,0.911389191,HSP60
1,A09,B364,F,H6,40_deg,1.061769027,HSP60
1,A10,B221,M,L2,30_deg,1.443230743,HSP60
1,A11,B221,M,L2,30_deg,1.523802938,HSP60
1,A12,B221,M,L2,30_deg,1.499822911,HSP60
1,B04,B193,F,H14,40_deg,2.125380704,HSP60
1,B05,B193,F,H14,40_deg,2.170009213,HSP60
1,B06,B193,F,H14,40_deg,2.484127722,HSP60
1,B07,B372,M,L10,30_deg,0.823239482,HSP60
1,B08,B372,M,L10,30_deg,0.852970872,HSP60
1,B09,B372,M,L10,30_deg,0.786948386,HSP60
1,B10,B275,M,H8,40_deg,1.29095029,HSP60
1,B11,B275,M,H8,40_deg,1.262049823,HSP60
1,B12,B275,M,H8,40_deg,1.275303842,HSP60
1,C04,B371,M,L8,30_deg,1.327698295,HSP60
1,C05,B371,M,L8,30_deg,1.344159043,HSP60
1,C06,B371,M,L8,30_deg,1.347957195,HSP60
1,C07,B390,M,H16,40_deg,2.17172183,HSP60
1,C08,B390,M,H16,40_deg,1.942099948,HSP60
1,C09,B390,M,H16,40_deg,2.12877508,HSP60
1,C10,B403,F,L16,30_deg,3.029486493,HSP60
1,C11,B403,F,L16,30_deg,2.92209559,HSP60
1,C12,B403,F,L16,30_deg,3.319728207,HSP60
1,D04,B191,F,H8,40_deg,1.322817062,HSP60
1,D05,B191,F,H8,40_deg,1.235893169,HSP60
1,D06,B191,F,H8,40_deg,1.216278199,HSP60
1,D07,B239,F,L12,30_deg,2.499212897,HSP60
1,D08,B239,F,L12,30_deg,2.658314741,HSP60
1,D09,B239,F,L12,30_deg,2.439560516,HSP60
1,D10,B365,M,H6,40_deg,0.659400106,HSP60
1,D11,B365,M,H6,40_deg,0.647333158,HSP60
1,D12,B365,M,H6,40_deg,0.684657252,HSP60
1,E04,B176,M,L14,30_deg,0.931542314,HSP60
1,E05,B176,M,L14,30_deg,0.999665105,HSP60
1,E06,B176,M,L14,30_deg,0.9455018,HSP60
1,E07,B248,M,H12,40_deg,3.239961419,HSP60
1,E08,B248,M,H12,40_deg,3.277683279,HSP60
1,E09,B248,M,H12,40_deg,3.129197488,HSP60
1,E10,B209,M,L6,30_deg,1.060144162,HSP60
1,E11,B209,M,L6,30_deg,1.01398227,HSP60
1,E12,B209,M,L6,30_deg,1.058203667,HSP60
1,F04,B195,F,H4,40_deg,1.170816407,HSP60
1,F05,B195,F,H4,40_deg,1.163511589,HSP60
