Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,B04,HEX,EEF2,Unkn-02,Hot,23882,F,1/8/2018,32.6993488,32.59369926,0.105649533,0.462291824,32.13140744,33.05599109,25.32260315,92.74301963,5,463.7150982
1,B05,HEX,EEF2,Unkn-02,Hot,23882,F,1/8/2018,32.48804973,32.59369926,0.105649533,0.462291824,32.13140744,33.05599109,25.32260315,107.3982185,5,536.9910923
1,B08,HEX,EEF2,Unkn-10,Cool,23871,M,1/4/2018,34.8449445,35.12931886,0.284374351,1.081097951,34.0482209,36.21041681,8.035008134,20.90696245,5,104.5348122
1,B09,HEX,EEF2,Unkn-10,Cool,23871,M,1/4/2018,35.41369321,35.12931886,0.284374351,1.081097951,34.0482209,36.21041681,8.035008134,14.0860266,5,70.43013298
1,C05,HEX,EEF2,Unkn-03,Cool,24508,F,1/16/2018,30.21990441,30.0679563,0.151948115,0.641438142,29.42651816,30.70939444,187.5432347,518.7300418,5,2593.650209
1,C06,HEX,EEF2,Unkn-03,Cool,24508,F,1/16/2018,29.91600818,30.0679563,0.151948115,0.641438142,29.42651816,30.70939444,187.5432347,640.5887578,5,3202.943789
1,C07,HEX,EEF2,Unkn-11,Cool,23866,F,1/3/2018,35.41848536,35.82813226,0.409646891,0.860237753,34.9678945,36.68837001,4.941531065,14.03923553,5,70.19617763
1,C08,HEX,EEF2,Unkn-11,Cool,23866,F,1/3/2018,36.23777915,35.82813226,0.409646891,0.860237753,34.9678945,36.68837001,4.941531065,7.948602911,5,39.74301456
1,C10,HEX,EEF2,Unkn-19,Cool,23869,M,1/4/2018,34.01700088,33.87378864,0.143212234,0.390275312,33.48351333,34.26406395,11.99097848,37.1494084,5,185.747042
1,C11,HEX,EEF2,Unkn-19,Cool,23869,M,1/4/2018,33.43213859,33.87378864,0.441650048,0.390275312,33.48351333,34.26406395,11.99097848,55.75878245,5,278.7939123
1,C12,HEX,EEF2,Unkn-19,Cool,23869,M,1/4/2018,34.17222646,33.87378864,0.298437814,0.390275312,33.48351333,34.26406395,11.99097848,33.35374837,5,166.7687419
1,D04,HEX,EEF2,Unkn-04,Hot,,,,30.22906541,30.30570514,0.076639735,0.700288373,29.60541677,31.00599351,370.072086,515.4410025,5,2577.205013
1,D05,HEX,EEF2,Unkn-04,Hot,23616,F,1/22/2018,30.38234488,30.30570514,0.076639735,0.700288373,29.60541677,31.00599351,370.072086,463.4026849,5,2317.013425
1,D07,HEX,EEF2,Unkn-12,Hot,90532,F,1/8/2018,28.33327173,28.42730339,0.094031657,0.239130604,28.18817278,28.66643399,288.0543221,1922.397064,5,9611.98532
1,D08,HEX,EEF2,Unkn-12,Hot,90532,F,1/8/2018,28.24948154,28.42730339,0.177821849,0.239130604,28.18817278,28.66643399,288.0543221,2037.555638,5,10187.77819
1,D09,HEX,EEF2,Unkn-12,Hot,90532,F,1/8/2018,28.69915689,28.42730339,0.271853506,0.239130604,28.18817278,28.66643399,288.0543221,1491.120795,5,7455.603975
