Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,PairID,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,B12,FAM,APTX,Unkn-06,40_deg,B275,M,H8,30.85509734,30.87224006,0.017142719,0.10239622,27587.40728,423612.0037,5,2118060.019
1,C04,FAM,APTX,Unkn-07,30_deg,B371,M,L8,32.76163242,32.89621342,0.134581003,0.132922058,9753.345191,123199.7122,5,615998.561
1,C05,FAM,APTX,Unkn-07,30_deg,B371,M,L8,33.02741197,32.89621342,0.13119855,0.132922058,9753.345191,103714.362,5,518571.8102
1,C06,FAM,APTX,Unkn-07,30_deg,B371,M,L8,32.89959587,32.89621342,0.003382453,0.132922058,9753.345191,112667.0536,5,563335.268
1,C07,FAM,APTX,Unkn-08,40_deg,B390,M,H16,30.00777992,29.99684482,0.010935092,0.010481421,5012.606495,733400.1263,5,3667000.631
1,C08,FAM,APTX,Unkn-08,40_deg,B390,M,H16,29.99586927,29.99684482,0.000975553,0.010481421,5012.606495,739080.5252,5,3695402.626
1,C09,FAM,APTX,Unkn-08,40_deg,B390,M,H16,29.98688528,29.99684482,0.00995954,0.010481421,5012.606495,743394.2389,5,3716971.194
1,C10,FAM,APTX,Unkn-09,30_deg,B403,F,L16,31.18915425,31.31138836,0.122234105,0.14052247,28324.35151,341184.4616,5,1705922.308
1,C11,FAM,APTX,Unkn-09,30_deg,B403,F,L16,31.2800896,31.31138836,0.03129876,0.14052247,28324.35151,321667.1675,5,1608335.837
1,C12,FAM,APTX,Unkn-09,30_deg,B403,F,L16,31.46492122,31.31138836,0.153532864,0.14052247,28324.35151,285370.271,5,1426851.355
1,D04,FAM,APTX,Unkn-10,40_deg,B191,F,H8,31.15270759,31.1745569,0.021849305,0.048939571,10828.05747,349335.442,5,1746677.21
1,D05,FAM,APTX,Unkn-10,40_deg,B191,F,H8,31.140348,31.1745569,0.0342089,0.048939571,10828.05747,352143.5429,5,1760717.714
1,D06,FAM,APTX,Unkn-10,40_deg,B191,F,H8,31.2306151,31.1745569,0.056058205,0.048939571,10828.05747,332143.0838,5,1660715.419
1,D07,FAM,APTX,Unkn-11,30_deg,B239,F,L12,29.92773416,29.97147865,0.043744485,0.037896559,18564.38509,772431.4715,5,3862157.358
1,D08,FAM,APTX,Unkn-11,30_deg,B239,F,L12,29.99236895,29.97147865,0.0208903,0.037896559,18564.38509,740758.2409,5,3703791.205
1,D09,FAM,APTX,Unkn-11,30_deg,B239,F,L12,29.99433283,29.97147865,0.022854184,0.037896559,18564.38509,739816.4765,5,3699082.382
1,D10,FAM,APTX,Unkn-12,40_deg,B365,M,H6,30.54411949,30.58650399,0.042384495,0.094847662,30482.47976,518148.8308,5,2590744.154
1,D11,FAM,APTX,Unkn-12,40_deg,B365,M,H6,30.52023913,30.58650399,0.066264855,0.094847662,30482.47976,526226.4786,5,2631132.393
1,D12,FAM,APTX,Unkn-12,40_deg,B365,M,H6,30.69515334,30.58650399,0.10864935,0.094847662,30482.47976,469855.9394,5,2349279.697
1,E04,FAM,APTX,Unkn-13,30_deg,B176,M,L14,30.04314075,30.08021296,0.037072203,0.033543678,15267.51609,716791.8276,5,3583959.138
1,E05,FAM,APTX,Unkn-13,30_deg,B176,M,L14,30.08903221,30.08021296,0.008819252,0.033543678,15267.51609,695797.0279,5,3478985.14
1,E06,FAM,APTX,Unkn-13,30_deg,B176,M,L14,30.10846591,30.08021296,0.028252951,0.033543678,15267.51609,687092.7369,5,3435463.684
1,E07,FAM,APTX,Unkn-14,40_deg,B248,M,H12,33.1431465,33.07538189,0.067764601,0.076237853,5001.972984,96223.18485,5,481115.9242
1,E08,FAM,APTX,Unkn-14,40_deg,B248,M,H12,33.09016354,33.07538189,0.014781642,0.076237853,5001.972984,99583.00563,5,497915.0282
1,E09,FAM,APTX,Unkn-14,40_deg,B248,M,H12,32.99283565,33.07538189,0.082546244,0.076237853,5001.972984,106063.5428,5,530317.714
1,E10,FAM,APTX,Unkn-15,30_deg,B209,M,L6,30.75913254,30.78978897,0.030656431,0.159665975,45147.4844,450781.0849,5,2253905.425
1,E11,FAM,APTX,Unkn-15,30_deg,B209,M,L6,30.64767399,30.78978897,0.142114984,0.159665975,45147.4844,484531.3845,5,2422656.923
1,E12,FAM,APTX,Unkn-15,30_deg,B209,M,L6,30.96256039,30.78978897,0.172771415,0.159665975,45147.4844,395126.4202,5,1975632.101
1,F04,FAM,APTX,Unkn-16,40_deg,B195,F,H4,31.5614661,31.48730264,0.074163457,0.163214319,30645.59781,268069.9348,5,1340349.674
1,F05,FAM,APTX,Unkn-16,40_deg,B195,F,H4,31.60026674,31.48730264,0.112964099,0.163214319,30645.59781,261416.1807,5,1307080.904
1,F06,FAM,APTX,Unkn-16,40_deg,B195,F,H4,31.30017509,31.48730264,0.187127556,0.163214319,30645.59781,317509.0853,5,1587545.426
1,F07,FAM,APTX,Unkn-17,30_deg,B368,M,L4,30.55758231,30.82585636,0.268274058,0.233777755,68342.3492,513649.7458,5,2568248.729
1,F08,FAM,APTX,Unkn-17,30_deg,B368,M,L4,30.93403552,30.82585636,0.108179157,0.233777755,68342.3492,402495.3492,5,2012476.746
1,F09,FAM,APTX,Unkn-17,30_deg,B368,M,L4,30.98595127,30.82585636,0.160094901,0.233777755,68342.3492,389184.5576,5,1945922.788
1,F10,FAM,APTX,Unkn-18,40_deg,B336,F,H10,31.48680556,31.55492057,0.068115015,0.082778464,14289.05809,281353.3477,5,1406766.739
1,F11,FAM,APTX,Unkn-18,40_deg,B336,F,H10,31.53090457,31.55492057,0.024016004,0.082778464,14289.05809,273429.8177,5,1367149.089
1,F12,FAM,APTX,Unkn-18,40_deg,B336,F,H10,31.64705159,31.55492057,0.092131019,0.082778464,14289.05809,253612.4995,5,1268062.498
