Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,JulianDate,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,E07,FAM,APTX,Unkn-13,Cool,90591,F,1/2/2018,,31.83652294,31.9203983,0.083875367,0.136416273,31.78398203,32.05681458,12.11579687,138.5628373,5,692.8141867
1,E08,FAM,APTX,Unkn-13,Cool,90591,F,1/2/2018,,31.84686698,31.9203983,0.073531323,0.136416273,31.78398203,32.05681458,12.11579687,137.5665625,5,687.8328123
1,E09,FAM,APTX,Unkn-13,Cool,90591,F,1/2/2018,,32.07780499,31.9203983,0.15740669,0.136416273,31.78398203,32.05681458,12.11579687,117.0972685,5,585.4863426
1,E10,FAM,APTX,Unkn-21,Cool,23868,M,1/3/2018,,35.69441102,35.40555896,0.288852065,0.250971336,35.15458762,35.65653029,1.923129809,9.393813818,5,46.96906909
1,E11,FAM,APTX,Unkn-21,Cool,23868,M,1/3/2018,,35.24088508,35.40555896,0.164673873,0.250971336,35.15458762,35.65653029,1.923129809,12.88974736,5,64.44873682
1,E12,FAM,APTX,Unkn-21,Cool,23868,M,1/3/2018,,35.28138076,35.40555896,0.124178192,0.250971336,35.15458762,35.65653029,1.923129809,12.53070869,5,62.65354345
1,F04,FAM,APTX,Unkn-06,Cool,90583,M,1/4/2018,,33.83759286,33.94769935,0.110106489,0.118854725,33.82884463,34.06655408,2.616414697,34.30779007,5,171.5389504
1,F05,FAM,APTX,Unkn-06,Cool,90583,M,1/4/2018,,33.93180285,33.94769935,0.015896503,0.118854725,33.82884463,34.06655408,2.616414697,32.1255389,5,160.6276945
1,F06,FAM,APTX,Unkn-06,Cool,90583,M,1/4/2018,,34.07370234,33.94769935,0.126002991,0.118854725,33.82884463,34.06655408,2.616414697,29.09777963,5,145.4888982
1,F07,FAM,APTX,Unkn-14,Hot,23850,F,12/30/2017,,38.02967576,37.92408001,0.105595743,0.732859474,37.19122054,38.65693949,0.687084367,1.842207797,5,9.211038985
1,F08,FAM,APTX,Unkn-14,Hot,23850,F,12/30/2017,,37.81848427,37.92408001,0.105595743,0.732859474,37.19122054,38.65693949,0.687084367,2.134628146,5,10.67314073
1,F11,FAM,APTX,Unkn-22,Hot,23625,M,12/30/2017,,40.25769095,40.45379967,0.19610872,1.031909329,39.42189034,41.48570899,0.471204554,0.389339203,5,1.946696013
1,F12,FAM,APTX,Unkn-22,Hot,23625,M,12/30/2017,,40.64990839,40.45379967,0.19610872,1.031909329,39.42189034,41.48570899,0.471204554,0.296141999,5,1.480709994
1,G04,FAM,APTX,Unkn-07,Hot,18945,M,12/30/2017,,33.83994326,33.70963169,0.130311565,0.113101106,33.59653059,33.8227328,2.896578547,34.25158371,5,171.2579185
1,G05,FAM,APTX,Unkn-07,Hot,18945,M,12/30/2017,,33.65196138,33.70963169,0.057670308,0.113101106,33.59653059,33.8227328,2.896578547,39.05103719,5,195.2551859
1,G06,FAM,APTX,Unkn-07,Hot,18945,M,12/30/2017,,33.63699044,33.70963169,0.072641257,0.113101106,33.59653059,33.8227328,2.896578547,39.46101444,5,197.3050722
1,G07,FAM,APTX,Unkn-15,Cool,24511,M,1/16/2018,,33.40631899,33.81103795,0.404718965,0.40449375,33.4065442,34.2155317,10.02824035,46.35041279,5,231.752064
1,G08,FAM,APTX,Unkn-15,Cool,24511,M,1/16/2018,,33.81148876,33.81103795,0.000450808,0.40449375,33.4065442,34.2155317,10.02824035,34.938268,5,174.69134
1,G09,FAM,APTX,Unkn-15,Cool,24511,M,1/16/2018,,34.21530611,33.81103795,0.404268157,0.40449375,33.4065442,34.2155317,10.02824035,26.36081747,5,131.8040873
1,G10,FAM,APTX,Unkn-23,Cool,23680,M,1/3/2018,,36.45758447,36.62627343,0.16868896,0.161995521,36.46427791,36.78826895,0.559745338,5.516036783,5,27.58018392
1,G11,FAM,APTX,Unkn-23,Cool,23680,M,1/3/2018,,36.6406138,36.62627343,0.014340374,0.161995521,36.46427791,36.78826895,0.559745338,4.854848512,5,24.27424256
1,G12,FAM,APTX,Unkn-23,Cool,23680,M,1/3/2018,,36.78062201,36.62627343,0.154348587,0.161995521,36.46427791,36.78826895,0.559745338,4.403095484,5,22.01547742
1,H05,FAM,APTX,Unkn-08,Cool,24512,M,1/16/2018,,29.16955685,29.14855975,0.020997097,0.661062393,28.48749736,29.80962215,287.2742668,890.5206179,5,4452.60309
1,H06,FAM,APTX,Unkn-08,Cool,24512,M,1/16/2018,,29.12756266,29.14855975,0.020997097,0.661062393,28.48749736,29.80962215,287.2742668,916.9945345,5,4584.972673
1,H07,FAM,APTX,Unkn-16,Hot,23886,F,1/8/2018,,37.12480264,37.25055506,0.125752419,0.356446105,36.89410895,37.60700117,0.751928862,3.463246801,5,17.316234
1,H08,FAM,APTX,Unkn-16,Hot,23886,F,1/8/2018,,36.97402948,37.25055506,0.276525577,0.356446105,36.89410895,37.60700117,0.751928862,3.847356427,5,19.23678213
1,H09,FAM,APTX,Unkn-16,Hot,23886,F,1/8/2018,,37.65283306,37.25055506,0.402277996,0.356446105,36.89410895,37.60700117,0.751928862,2.396120973,5,11.98060487
1,H10,FAM,APTX,Unkn-24,Hot,28805,M,1/8/2018,,32.75830339,32.95075691,0.192453513,0.263567848,32.68718906,33.21432475,11.22724196,72.84162239,5,364.208112
1,H11,FAM,APTX,Unkn-24,Hot,28805,M,1/8/2018,,32.84280422,32.95075691,0.107952684,0.263567848,32.68718906,33.21432475,11.22724196,68.67186179,5,343.359309
1,H12,FAM,APTX,Unkn-24,Hot,28805,M,1/8/2018,,33.2511631,32.95075691,0.300406198,0.263567848,32.68718906,33.21432475,11.22724196,51.64881943,5,258.2440972
1,A04,HEX,EEF2,Unkn-01,Cool,24281,F,1/3/2018,,34.76551197,35.04969357,0.284181606,0.250921665,34.79877191,35.30061524,2.931178982,19.50709686,5,97.53548432
1,A05,HEX,EEF2,Unkn-01,Cool,24281,F,1/3/2018,,35.1428733,35.04969357,0.093179729,0.250921665,34.79877191,35.30061524,2.931178982,14.99685403,5,74.98427017
1,A06,HEX,EEF2,Unkn-01,Cool,24281,F,1/3/2018,,35.24069545,35.04969357,0.191001877,0.250921665,34.79877191,35.30061524,2.931178982,14.00871893,5,70.04359463
1,A07,HEX,EEF2,Unkn-09,Hot,23894,M,1/8/2018,,29.54618937,29.4907859,0.055403475,0.104820652,29.38596524,29.59560655,57.44644534,740.6282382,5,3703.141191
1,A08,HEX,EEF2,Unkn-09,Hot,23894,M,1/8/2018,,29.55627863,29.4907859,0.065492738,0.104820652,29.38596524,29.59560655,57.44644534,735.4398817,5,3677.199408
1,A09,HEX,EEF2,Unkn-09,Hot,23894,M,1/8/2018,,29.36988968,29.4907859,0.120896213,0.104820652,29.38596524,29.59560655,57.44644534,837.4327167,5,4187.163583
1,A10,HEX,EEF2,Unkn-17,Cool,23870,M,1/4/2018,,32.24011092,32.22018655,0.019924363,0.039595292,32.18059126,32.25978185,3.195852945,113.3440293,5,566.7201464
1,A11,HEX,EEF2,Unkn-17,Cool,23870,M,1/4/2018,,32.24586216,32.22018655,0.025675607,0.039595292,32.18059126,32.25978185,3.195852945,112.8907287,5,564.4536434
1,A12,HEX,EEF2,Unkn-17,Cool,23870,M,1/4/2018,,32.17458658,32.22018655,0.04559997,0.039595292,32.18059126,32.25978185,3.195852945,118.6388205,5,593.1941027
1,B05,HEX,EEF2,Unkn-02,Hot,23882,F,1/8/2018,,33.63022033,33.59301953,0.037200808,0.64440883,32.9486107,34.23742836,13.82143621,43.02696588,5,215.1348294
1,B06,HEX,EEF2,Unkn-02,Hot,23882,F,1/8/2018,,33.55581872,33.59301953,0.037200808,0.64440883,32.9486107,34.23742836,13.82143621,45.3163821,5,226.5819105
1,B07,HEX,EEF2,Unkn-10,Cool,23871,M,1/4/2018,,34.35204135,34.62124219,0.269200842,0.245106005,34.37613619,34.8663482,3.811940418,26.02028601,5,130.1014301
1,B08,HEX,EEF2,Unkn-10,Cool,23871,M,1/4/2018,,34.680178,34.62124219,0.058935808,0.245106005,34.37613619,34.8663482,3.811940418,20.70214579,5,103.5107289
1,B09,HEX,EEF2,Unkn-10,Cool,23871,M,1/4/2018,,34.83150723,34.62124219,0.210265034,0.245106005,34.37613619,34.8663482,3.811940418,18.63039064,5,93.1519532
1,C04,HEX,EEF2,Unkn-03,Cool,24508,F,1/16/2018,,31.3588106,31.26368663,0.095123975,0.092277114,31.17140951,31.35596374,14.3575293,209.45319,5,1047.26595
1,C05,HEX,EEF2,Unkn-03,Cool,24508,F,1/16/2018,,31.17454775,31.26368663,0.089138877,0.092277114,31.17140951,31.35596374,14.3575293,238.1476783,5,1190.738392
1,C06,HEX,EEF2,Unkn-03,Cool,24508,F,1/16/2018,,31.25770153,31.26368663,0.005985098,0.092277114,31.17140951,31.35596374,14.3575293,224.7415498,5,1123.707749
1,C07,HEX,EEF2,Unkn-11,Cool,23866,F,1/3/2018,,35.70056224,35.9740622,0.273499961,0.238160773,35.73590143,36.21222298,1.464916803,10.16808465,5,50.84042324
1,C08,HEX,EEF2,Unkn-11,Cool,23866,F,1/3/2018,,36.13568953,35.9740622,0.161627329,0.238160773,35.73590143,36.21222298,1.464916803,7.508725876,5,37.54362938
